dim,value,accuracy,loss,time,filters,dropout,batch
filters,5,84.73,0.46741237799832774,29.77141499519348,5,0.5,64
filters,10,88.2,0.3798873477680668,36.068944215774536,10,0.5,64
filters,20,88.18,0.3521479472612879,49.120322942733765,20,0.5,64
filters,40,90.16,0.29138325857129066,137.63974809646606,40,0.5,64
dropout,0.0,90.28,0.2687342606342522,75.1815140247345,40,0.0,64
dropout,0.25,90.64,0.2570665351049915,496.18569016456604,40,0.25,64
dropout,0.5,89.94,0.2983295416376393,82.53861403465271,40,0.5,64
dropout,0.75,89.42999999999999,0.3380735507056971,82.55402421951294,40,0.75,64
batch,16,89.69,0.273899272172153,110.52644205093384,40,0.25,16
batch,32,90.24,0.2790176768105822,91.20606803894043,40,0.25,32
batch,64,89.86,0.28001089735775236,83.3053560256958,40,0.25,64
batch,128,89.41,0.2950724555721766,75.91958808898926,40,0.25,128
filters_r2,5,86.11,0.39411817686245465,36.26277494430542,5,0.25,32
filters_r2,10,88.1,0.3312821902406101,43.82228922843933,10,0.25,32
filters_r2,20,89.18,0.3071594669605596,60.05017900466919,20,0.25,32
filters_r2,40,90.56,0.26141022675382064,93.74446702003479,40,0.25,32
dropout_r2,0.0,90.41,0.2695592962824308,87.859530210495,40,0.0,32
dropout_r2,0.25,90.66,0.25652071182577374,94.67111206054688,40,0.25,32
dropout_r2,0.5,90.82000000000001,0.27944361294706027,95.35481691360474,40,0.5,32
dropout_r2,0.75,89.61,0.34763252968414904,93.56866908073425,40,0.75,32
batch_r2,16,89.83,0.2839474217623472,111.10718488693237,40,0.5,16
batch_r2,32,90.23,0.2929296244066744,94.40205192565918,40,0.5,32
batch_r2,64,89.03999999999999,0.3309596066072488,81.5751359462738,40,0.5,64
batch_r2,128,89.78,0.33082200699969183,73.95816397666931,40,0.5,128
