timestamp,street,cross_street,direction,class,color
2026-08-11T15:58:23.782721,huntington_ave,parker_st,NW,car,orange
2026-08-11T15:58:25.749778,huntington_ave,parker_st,NW,car,orange
2026-08-11T15:58:27.438125,huntington_ave,parker_st,NW,car,white
2026-08-11T15:58:28.901440,huntington_ave,parker_st,NW,car,red
2026-08-11T15:58:39.665624,huntington_ave,parker_st,NW,car,red
2026-08-11T15:58:42.694468,huntington_ave,parker_st,NW,truck,gray
2026-08-11T15:58:55.957185,huntington_ave,parker_st,NW,car,orange
2026-08-11T15:58:58.181723,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T15:58:58.579732,huntington_ave,parker_st,NW,truck,gray
2026-08-11T15:59:01.171174,huntington_ave,parker_st,NW,truck,gray
2026-08-11T15:59:19.698115,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T15:59:19.803816,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T15:59:20.082083,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T16:04:53.851832,huntington_ave,parker_st,SE,car,orange
2026-08-11T16:04:53.904715,huntington_ave,parker_st,SE,car,gray
2026-08-11T16:06:02.098329,huntington_ave,parker_st,NW,car,orange
2026-08-11T16:06:12.527742,huntington_ave,parker_st,NW,car,orange
2026-08-11T16:06:48.180384,huntington_ave,parker_st,NW,car,orange
2026-08-11T16:06:59.199787,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T16:07:09.467415,huntington_ave,parker_st,NW,bus,black
2026-08-11T16:07:11.040941,huntington_ave,parker_st,NW,car,orange
2026-08-11T16:07:14.353578,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:07:58.062119,huntington_ave,parker_st,SE,car,gray
2026-08-11T16:20:05.284419,huntington_ave,parker_st,NW,car,blue
2026-08-11T16:20:06.390463,huntington_ave,parker_st,NW,truck,gray
2026-08-11T16:20:07.292233,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:20:07.600064,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T16:20:08.798038,huntington_ave,parker_st,NW,car,blue
2026-08-11T16:20:14.165873,huntington_ave,parker_st,NW,car,black
2026-08-11T16:20:22.512118,huntington_ave,parker_st,NW,car,yellow
2026-08-11T16:20:51.243138,huntington_ave,parker_st,NW,car,purple
2026-08-11T16:20:55.808309,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:21:33.048876,huntington_ave,parker_st,NW,car,purple
2026-08-11T16:21:44.753269,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T16:21:48.337392,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:21:51.621584,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:21:54.568422,huntington_ave,parker_st,NW,car,black
2026-08-11T16:21:58.316152,huntington_ave,parker_st,NW,bus,gray
2026-08-11T16:21:59.269996,huntington_ave,parker_st,NW,car,white
2026-08-11T16:21:59.531874,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T16:22:00.084034,huntington_ave,parker_st,NW,car,unknown
2026-08-11T16:22:01.493477,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:22:03.073433,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:22:03.235659,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:22:05.392586,huntington_ave,parker_st,NW,car,black
2026-08-11T16:22:07.529776,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:22:09.417747,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:22:30.807996,huntington_ave,parker_st,NW,car,blue
2026-08-11T16:22:41.040820,huntington_ave,parker_st,NW,truck,purple
2026-08-11T16:22:43.140327,huntington_ave,parker_st,NW,motorcycle,purple
2026-08-11T16:22:49.764999,huntington_ave,parker_st,NW,car,gray
2026-08-11T16:22:58.641053,huntington_ave,parker_st,NW,bus,blue
2026-08-11T16:23:38.660012,huntington_ave,parker_st,NW,truck,gray
2026-08-11T16:23:41.026521,huntington_ave,parker_st,NW,car,black
2026-08-11T16:23:42.808234,huntington_ave,parker_st,NW,car,black
2026-08-11T16:23:43.517473,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T16:23:43.573012,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T16:23:44.867926,huntington_ave,parker_st,NW,truck,gray
2026-08-11T16:23:48.540939,huntington_ave,parker_st,NW,car,black
2026-08-11T16:23:50.582578,huntington_ave,parker_st,NW,car,blue
2026-08-11T16:23:53.060646,huntington_ave,parker_st,NW,car,blue
2026-08-11T16:24:19.726524,huntington_ave,parker_st,NW,car,black
2026-08-11T16:24:21.492428,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:35:11.385320,huntington_ave,parker_st,NW,bus,green
2026-08-11T17:35:22.891470,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:35:24.226934,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:35:25.531055,huntington_ave,parker_st,NW,truck,black
2026-08-11T17:35:25.680528,huntington_ave,parker_st,NW,truck,gray
2026-08-11T17:35:27.332212,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:35:27.999351,huntington_ave,parker_st,NW,car,white
2026-08-11T17:35:30.000070,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:35:30.127091,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:35:32.258548,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:35:32.618674,huntington_ave,parker_st,SE,bicycle,NA
2026-08-11T17:35:38.509949,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:35:41.475303,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:35:53.512472,huntington_ave,parker_st,NW,car,green
2026-08-11T17:35:57.016370,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:35:57.259679,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:36:34.930150,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:36:34.979481,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:36:37.888431,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:36:40.624027,huntington_ave,parker_st,NW,motorcycle,orange
2026-08-11T17:36:58.295614,huntington_ave,parker_st,NW,car,white
2026-08-11T17:36:59.611236,huntington_ave,parker_st,NW,bus,gray
2026-08-11T17:37:02.713584,huntington_ave,parker_st,NW,car,black
2026-08-11T17:37:05.025415,huntington_ave,parker_st,NW,car,white
2026-08-11T17:37:08.703876,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:37:09.614114,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:37:10.540055,huntington_ave,parker_st,NW,car,black
2026-08-11T17:37:12.278988,huntington_ave,parker_st,NW,car,black
2026-08-11T17:37:14.783704,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:37:14.836396,huntington_ave,parker_st,NW,truck,unknown
2026-08-11T17:37:39.037128,huntington_ave,parker_st,NW,car,black
2026-08-11T17:37:42.163562,huntington_ave,parker_st,NW,car,unknown
2026-08-11T17:37:45.941942,huntington_ave,parker_st,NW,truck,gray
2026-08-11T17:37:49.601963,huntington_ave,parker_st,NW,car,black
2026-08-11T17:37:51.860020,huntington_ave,parker_st,NW,car,red
2026-08-11T17:37:54.282378,huntington_ave,parker_st,NW,car,black
2026-08-11T17:37:55.853025,huntington_ave,parker_st,NW,car,red
2026-08-11T17:38:02.079868,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:38:14.059337,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:38:41.105074,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:38:48.665894,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:38:56.655945,huntington_ave,parker_st,NW,car,unknown
2026-08-11T17:38:58.820452,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:39:01.471032,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:39:08.589449,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:39:28.086231,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:39:36.391991,huntington_ave,parker_st,NW,car,orange
2026-08-11T17:43:08.424675,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:43:10.889621,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:43:41.073881,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:43:56.352122,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:43:56.961111,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:44:19.516658,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:44:21.762087,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:44:28.206329,huntington_ave,parker_st,NW,car,orange
2026-08-11T17:44:30.233732,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:44:31.180839,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:44:31.571661,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:44:36.261567,huntington_ave,parker_st,NW,car,black
2026-08-11T17:44:39.605419,huntington_ave,parker_st,NW,car,green
2026-08-11T17:44:40.110144,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:44:42.706483,huntington_ave,parker_st,NW,bus,green
2026-08-11T17:44:45.477517,huntington_ave,parker_st,NW,car,green
2026-08-11T17:44:45.816658,huntington_ave,parker_st,NW,car,black
2026-08-11T17:44:48.160872,huntington_ave,parker_st,NW,truck,green
2026-08-11T17:44:49.976250,huntington_ave,parker_st,NW,motorcycle,unknown
2026-08-11T17:45:04.138612,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:45:10.727025,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:45:37.050003,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:45:45.567467,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:46:02.582689,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:46:02.717458,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:46:02.722757,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:46:12.130228,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:46:14.841085,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:46:18.658891,huntington_ave,parker_st,NW,car,purple
2026-08-11T17:46:20.698597,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:46:20.969457,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:46:25.248961,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:46:29.480868,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:46:29.818166,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:46:33.513644,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:46:36.981950,huntington_ave,parker_st,NW,car,purple
2026-08-11T17:46:49.611160,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:47:02.528962,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:47:08.449909,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:47:22.089592,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:47:22.350311,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:47:30.739619,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:50:11.551174,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:50:14.469326,huntington_ave,parker_st,NW,car,white
2026-08-11T17:50:17.716216,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:50:19.167516,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:50:20.400928,huntington_ave,parker_st,NW,car,white
2026-08-11T17:51:09.113008,huntington_ave,parker_st,NW,car,green
2026-08-11T17:51:38.123732,huntington_ave,parker_st,NW,car,white
2026-08-11T17:51:38.379752,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:51:41.674456,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:51:47.029125,huntington_ave,parker_st,NW,bus,gray
2026-08-11T17:51:49.474266,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:51:52.007383,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:51:52.693196,huntington_ave,parker_st,NW,car,green
2026-08-11T17:51:55.539034,huntington_ave,parker_st,NW,bus,white
2026-08-11T17:51:58.043898,huntington_ave,parker_st,NW,truck,blue
2026-08-11T17:52:19.006549,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:52:27.524757,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:52:34.463023,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:52:34.860808,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:52:38.226184,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:52:38.822520,huntington_ave,parker_st,NW,car,orange
2026-08-11T17:53:04.363482,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:53:07.360114,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:53:11.077686,huntington_ave,parker_st,SE,truck,blue
2026-08-11T17:53:30.683611,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:53:31.080461,huntington_ave,parker_st,NW,bicycle,NA
2026-08-11T17:53:33.312063,huntington_ave,parker_st,NW,bus,green
2026-08-11T17:53:45.143770,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:53:45.598693,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:53:45.862724,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:53:46.217706,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:53:55.755497,huntington_ave,parker_st,NW,bus,green
2026-08-11T17:53:59.430472,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:53:59.753518,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T17:54:22.649545,huntington_ave,parker_st,NW,car,gray
2026-08-11T17:54:25.441750,huntington_ave,parker_st,NW,car,black
2026-08-11T17:54:25.736733,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:54:28.151929,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:54:30.766895,huntington_ave,parker_st,NW,car,blue
2026-08-11T17:54:36.665488,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T17:54:54.196321,huntington_ave,parker_st,SE,truck,gray
2026-08-11T18:02:53.213101,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:03:14.172004,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:03:19.172426,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:03:54.550415,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:04:28.023286,huntington_ave,parker_st,NW,car,white
2026-08-11T18:04:31.291899,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:04:31.477937,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:04:33.735921,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:04:35.755819,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:04:42.192389,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T18:04:44.936628,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T18:04:50.602405,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T18:05:43.789936,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T18:05:49.301597,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:06:17.562106,huntington_ave,parker_st,NW,car,white
2026-08-11T18:06:20.128585,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:06:24.325114,huntington_ave,parker_st,NW,bus,white
2026-08-11T18:06:24.516949,huntington_ave,parker_st,NW,bus,white
2026-08-11T18:06:27.198726,huntington_ave,parker_st,NW,car,white
2026-08-11T18:06:30.449209,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:06:33.552276,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:06:34.982504,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T18:06:35.208537,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T18:06:35.859438,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:06:36.469796,huntington_ave,parker_st,NW,bus,blue
2026-08-11T18:06:36.743207,huntington_ave,parker_st,NW,bus,gray
2026-08-11T18:06:38.540285,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:06:42.765071,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:06:45.209913,huntington_ave,parker_st,NW,car,white
2026-08-11T18:06:46.926922,huntington_ave,parker_st,NW,car,white
2026-08-11T18:07:05.263145,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:07:17.637555,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:07:30.107833,huntington_ave,parker_st,NW,car,white
2026-08-11T18:07:49.132955,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:07:49.616475,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:07:49.621877,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:07:50.443609,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:07:53.235871,huntington_ave,parker_st,SE,pedestrian,NA
2026-08-11T18:17:17.380991,huntington_ave,parker_st,NW,car,blue
2026-08-11T18:17:22.215124,huntington_ave,parker_st,NW,car,white
2026-08-11T18:17:27.360286,huntington_ave,parker_st,NW,bus,white
2026-08-11T18:17:29.464959,huntington_ave,parker_st,NW,car,gray
2026-08-11T18:17:32.802417,huntington_ave,parker_st,NW,car,orange
2026-08-11T18:17:33.043170,huntington_ave,parker_st,NW,pedestrian,NA
2026-08-11T18:17:52.592017,huntington_ave,parker_st,NW,pedestrian,NA
